Name in documentation,Category,Qty,Link,Notes
PCB para soldar  3x7cm,hardware,1,"https://es.aliexpress.com/item/1005004818919331.html?spm=a2g0o.detail.0.0.753dnAbsnAbsQ6&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40000.327270.0&scm_id=1007.40000.327270.0&scm-url=1007.40000.327270.0&pvid=576034a6-a4a6-4923-9841-81cf0314b069&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40000.327270.0,pvid:576034a6-a4a6-4923-9841-81cf0314b069,tpp_buckets:668%232846%238113%231998&pdp_npi=4%40dis%21CLP%214252%21466.0%21%21%214.47%21%21%402103146f16999728131504429ef9eb%2112000030607054927%21rec%21CL%21%21AB&search_p4p_id=202311140640131786639257718959410734_0",para soldar circuito limitador de corriente
LM317,hardware,1,https://es.aliexpress.com/item/1005005777401817.html?spm=a2g0o.productlist.main.1.265e2b522eR5Dw&algo_pvid=b30e018d-6978-4bbf-9e1b-b9c9d95b7061&aem_p4p_detail=2023111406390715721372307988900004020860&algo_exp_id=b30e018d-6978-4bbf-9e1b-b9c9d95b7061-0&pdp_npi=4%40dis%21CLP%21894%21894.0%21%21%210.94%21%21%402101c5ac16999727477721470e2242%2112000034316280688%21sea%21CL%210%21AB&curPageLogUid=VpS7hg2IFfcP&search_p4p_id=2023111406390715721372307988900004020860_1,
Disipador LM317,hardware,1,http://aliexpress.com/item/4000004835894.html,
Pernos disipador TO220,hardware,1,https://es.aliexpress.com/item/1005002838348039.html?src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&albagn=888888&isSmbAutoCall=false&needSmbHouyi=false&albcp=17859513307&albag=&trgt=&crea=es1005002838348039&netw=x&device=c&albpg=&albpd=es1005002838348039&gad_source=1&gclid=CjwKCAiA9dGqBhAqEiwAmRpTC_Cj0ZJUOz33Ux3dH8hnoL3XBwdM7pE5RjGzp-omJ-rYdgMsqERsZxoCibkQAvD_BwE&gclsrc=aw.ds&aff_fcid=ec9be249448c4eaa843f0ffeb88244d9-1700062593457-06292-UneMJZVf&aff_fsk=UneMJZVf&aff_platform=aaf&sk=UneMJZVf&aff_trace_key=ec9be249448c4eaa843f0ffeb88244d9-1700062593457-06292-UneMJZVf&terminal_id=1c7dbf56fc6547ef8fa57d8207a07536&afSmartRedirect=y,
"2 Ohm, 1W",hardware,1,http://aliexpress.com/item/1005002788900288.html,
Resistencias,hardware,1,"Resistencia de película metálica 100, 1/4W, 1R ~ 22M, 100R, 220R, 1K, 1% K, 1,5 K, 2,2 K, 10K, 22K, 47K, 4,7 K, 100, 100, 1K5, 2K2, 4K7 ohm, 220 unidades/lote - AliExpress","470 ohm, 150 ohm, 1/4 W"
Amperimetro ,hardware,1,http://aliexpress.com/item/1005005867205046.html,500mA o 1A dependiendo la fuente de corriente y láser a usar
Fiber coupling diode laser,hardware,1,"Shenzhen Guangchuangfeng Technology Co., Ltd","408 nm/300mW, 488nm/55mw, 638nm/700mW"
Adjustable Laser Diode Driver with TTL,hardware,1,"0-500mA Adjustable Green/Bule Laser Diode Constant Current Driver with TTL_LD Constant Current Driver_Drivers_Shenzhen Micost-optotech Co., Ltd","500mA, 4A"
Lente 1 pulgada ,hardware,2,http://aliexpress.com/item/32685561574.html,45mm distancia focal
